id,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2015001,1,7,9,16,20,23,6
2015002,7,15,16,25,28,32,5
2015003,10,15,20,23,24,31,15
2015004,2,14,15,16,23,24,10
2015005,7,10,16,17,18,32,15
2015006,1,10,11,29,31,33,13
2015007,1,7,9,17,20,33,8
2015008,4,7,10,16,20,22,3
2015009,4,7,14,17,21,25,14
2015010,1,2,3,8,21,31,9
2015011,4,14,15,17,18,20,15
2015012,3,5,22,23,29,31,6
2015013,8,9,24,25,26,29,1
2015014,2,12,16,19,27,30,11
2015015,1,7,20,24,25,33,4
2015016,2,6,10,15,17,31,13
2015017,13,18,20,25,27,33,12
2015018,6,9,12,14,28,29,9
2015019,2,6,11,19,25,26,4
2015020,1,4,7,19,22,23,4
2015021,14,15,16,17,27,28,8
2015022,4,7,10,16,23,25,10
2015023,8,9,10,13,29,30,1
2015024,9,11,16,18,23,24,10
2015025,10,11,12,15,27,32,14
2015026,2,13,17,21,22,33,13
2015027,5,7,9,16,26,29,7
2015028,4,7,10,26,27,28,14
2015029,7,14,15,19,21,28,7
2015030,8,11,14,15,16,26,7
2015031,1,5,7,22,26,32,11
2015032,11,14,16,18,29,32,16
2015033,3,6,21,29,31,32,5
2015034,12,13,17,18,20,27,13
2015035,1,8,9,22,24,33,3
2015036,4,6,16,17,26,33,3
2015037,5,7,12,18,28,31,3
2015038,5,6,11,12,14,33,14
2015039,1,13,15,26,29,30,12
2015040,13,16,18,27,30,32,16
2015041,4,9,11,17,21,25,6
2015042,9,10,19,21,23,32,8
2015043,11,12,15,24,26,27,15
2015044,2,3,4,13,14,16,2
2015045,1,5,13,22,30,31,7
2015046,5,7,10,14,23,31,1
2015047,2,3,20,24,26,27,9
2015048,13,16,17,22,25,27,10
2015049,7,12,14,17,20,23,5
2015050,3,9,12,16,17,31,4
2015051,4,10,24,26,28,32,9
2015052,2,4,11,16,25,26,12
2015053,3,7,17,22,32,33,10
2015054,1,2,7,10,22,26,7
2015055,1,10,15,18,19,28,2
2015056,1,7,8,16,18,20,14
2015057,9,20,24,25,26,32,4
2015058,2,9,10,18,19,20,15
2015059,2,6,9,16,25,32,14
2015060,1,3,18,27,31,32,13
2015061,6,18,22,26,32,33,4
2015062,9,14,15,18,21,26,16
2015063,1,7,9,16,22,32,12
2015064,11,12,14,17,23,27,1
2015065,8,10,14,19,26,29,12
2015066,5,8,11,17,24,28,16
2015067,2,5,8,24,25,31,14
2015068,6,15,18,21,26,27,10
2015069,1,13,17,18,23,30,15
2015070,1,7,13,19,21,29,15
2015071,8,18,20,28,29,31,8
2015072,1,3,5,20,21,31,5
2015073,1,2,17,22,26,27,4
2015074,4,7,21,25,26,29,8
2015075,6,11,13,19,21,32,4
2015076,1,9,10,19,23,27,9
2015077,1,6,8,10,13,27,16
2015078,3,7,20,22,26,29,2
2015079,9,14,15,20,26,32,11
2015080,14,17,25,27,28,30,2
2015081,13,20,22,26,28,31,13
2015082,2,8,9,14,28,30,7
2015083,6,7,16,18,29,32,5
2015084,15,18,20,22,28,29,15
2015085,2,8,25,27,28,29,5
2015086,5,6,8,16,18,22,12
2015087,9,15,16,19,20,28,11
2015088,2,12,20,24,29,31,9
2015089,12,14,19,27,28,29,1
2015090,10,12,14,22,25,33,15
2015091,5,7,17,19,22,31,11
2015092,9,15,19,21,26,27,1
2015093,1,3,13,21,25,31,8
2015094,1,4,6,13,16,17,10
2015095,4,15,21,28,30,31,4
2015096,6,16,17,23,24,31,7
2015097,9,12,14,20,26,27,4
2015098,6,9,13,26,27,33,1
2015099,6,7,10,11,14,22,9
2015100,2,3,11,17,19,21,8
2015101,8,16,22,24,28,29,5
2015102,7,9,12,14,21,23,6
2015103,6,8,13,26,30,32,14
2015104,9,18,21,23,25,26,1
2015105,9,10,16,19,20,26,12
2015106,1,3,4,23,31,32,13
2015107,7,14,16,18,21,25,8
2015108,2,12,19,22,24,27,15
2015109,1,8,9,16,32,33,13
2015110,5,7,16,17,22,23,4
2015111,8,14,16,18,20,30,12
2015112,1,3,10,19,20,27,11
2015113,1,5,7,8,19,27,12
2015114,4,7,9,13,21,26,1
2015115,1,7,8,14,24,32,3
2015116,4,6,15,23,26,28,11
2015117,4,11,12,18,26,32,12
2015118,1,4,11,21,23,31,12
2015119,2,8,10,18,23,31,8
2015120,16,21,24,26,27,29,16
2015121,1,3,20,21,28,29,12
2015122,5,7,11,16,22,25,7
2015123,5,8,9,12,22,28,7
2015124,2,3,5,12,18,27,1
2015125,5,13,22,27,30,33,10
2015126,10,11,15,20,23,29,12
2015127,7,10,19,22,27,33,6
2015128,1,3,8,11,22,28,6
2015129,5,8,11,16,18,27,4
2015130,6,14,15,16,17,22,10
2015131,10,12,13,19,22,26,3
2015132,3,5,11,28,30,33,1
2015133,2,3,13,20,22,24,15
2015134,2,5,14,19,27,31,4
2015135,1,12,14,18,26,32,7
2015136,2,5,12,23,28,29,1
2015137,14,22,23,27,28,31,12
2015138,1,2,8,16,19,24,11
2015139,1,10,13,18,25,27,9
2015140,6,20,28,29,30,31,12
2015141,3,8,19,25,27,28,2
2015142,13,17,19,20,22,25,11
2015143,13,15,19,20,21,32,4
2015144,1,4,7,15,28,32,16
2015145,7,8,15,19,20,24,13
2015146,16,17,21,28,30,32,15
2015147,8,9,16,23,24,30,5
2015148,9,13,14,22,26,27,7
2015149,9,10,20,21,22,33,9
2015150,1,3,8,11,29,31,13
2015151,5,6,8,23,31,32,11
2015152,11,18,19,21,29,32,12
2015153,8,11,15,22,27,29,3
2015154,7,9,11,15,18,25,7
2016001,6,13,16,18,20,22,13
2016002,9,14,17,20,24,30,16
2016003,1,10,14,23,26,28,1
2016004,8,10,17,22,25,33,12
2016005,11,14,18,20,31,33,14
2016006,13,16,18,20,28,31,12
2016007,5,12,14,20,27,29,6
2016008,2,15,24,29,32,33,2
2016009,10,14,24,25,27,32,4
2016010,2,4,12,14,19,25,6
2016011,3,8,10,15,22,29,12
2016012,7,12,14,16,27,32,15
2016013,7,12,21,22,26,31,1
2016014,2,8,10,18,20,27,7
2016015,1,2,14,22,25,26,7
2016016,1,20,22,24,25,26,16
2016017,5,6,8,20,22,30,5
2016018,12,13,14,17,21,25,4
2016019,6,13,16,17,23,30,10
2016020,1,2,10,12,22,24,10
2016021,9,11,13,22,24,26,5
2016022,4,9,19,22,23,30,7
2016023,3,6,10,19,25,29,7
2016024,2,5,7,14,18,31,13
2016025,4,11,12,17,24,30,12
2016026,4,9,12,28,30,33,1
2016027,11,13,15,17,19,31,5
2016028,6,8,12,21,25,29,1
2016029,12,15,18,20,21,27,15
2016030,10,14,19,22,25,29,12
2016031,3,8,10,19,26,33,3
2016032,8,12,14,15,21,27,15
2016033,6,17,18,20,27,29,15
2016034,3,15,21,22,23,28,15
2016035,4,13,19,20,26,29,11
2016036,3,4,7,9,20,22,3
2016037,6,15,26,31,32,33,16
2016038,3,12,13,22,28,29,3
2016039,1,3,7,18,19,27,16
2016040,3,13,19,20,23,26,3
2016041,12,17,18,21,22,24,4
2016042,7,14,17,23,26,31,9
2016043,5,14,20,26,30,33,12
2016044,1,3,10,12,18,30,1
2016045,4,9,12,17,30,32,3
2016046,7,20,25,26,27,30,14
2016047,2,5,8,15,17,22,16
2016048,3,8,13,14,15,30,4
2016049,6,8,13,14,22,27,10
